Bug,,,,,,,Fire,,,,,,,Dark,,,,,,,Ghost,,,,,,,Fairy,,,,,,,Figthing,,,,,,,Poison,,,,,,,Ice,,,,,,,Flying,,,,,,,Grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Move,PowerPWR,EnergyENG,DurationDUR,"P/S
                                
                                    Power per Second (DPS)
                                    How effective a move is at dealing damage","E/S
                                
                                    Energy per Second (EPS)
                                    How effective a fast move is at building up charged move energy","P/E
                                
                                    Power per Energy (DPE)
                                    How efficiently a charged move converts energy into damage","P2/ES
                                
                                    P/S * P/E
                                    How well a charged move both uses charged energy and deals damage","PE/S2
                                
                                    P/S * E/S
                                    How well a fast move accomplishes both building charged energy and dealing damage on its own","Top Users

                                    
                                        AttackerDefender",Normal,Fire,Water,Grass,Electric,Ice,Fighting,Poison,Ground,Flying,Psychic,Bug,Rock,Ghost,Dragon,Dark,Steel,"Fairy
Normal",,,,,,,,,,,,,,,,,,Fire,,,,,,,,,,,,,,,,,,Water,,,,,,,,,,,,,,,,,,Grass,,,,,,,,,,,,,,,,,,Electric,,,,,,,,,,,,,,,,,,Ice,,,,,,,,,,,,,,,,,,Fighting,,,,,,,,,,,,,,,,,,Poison,,,,,,,,,,,,,,,,,,Ground,,,,,,,,,,,,,,,,,,Flying,,,,,,,,,,,,,,,,,,Psychic,,,,,,,,,,,,,,,,,,Bug,,,,,,,,,,,,,,,,,,Rock,,,,,,,,,,,,,,,,,,Ghost,,,,,,,,,,,,,,,,,,Dragon,,,,,,,,,,,,,,,,,,Dark,,,,,,,,,,,,,,,,,,Steel,,,,,,,,,,,,,,,,,,Fairy
Rank,Name,Fast_Move,Charged_Move,DPS,Base_Scale,,Rank,Name,Fast_Move,Charged_Move,DPS,Base_Scale,,Rank,Name,Fast_Move,Charged_Move,DPS,Base_Scale,,Rank,Name,Fast_Move,Charged_Move,DPS,Base_Scale,,Rank,Name,Fast_Move,Charged_Move,DPS,Base_Scale,,Rank,Name,Fast_Move,Charged_Move,DPS,Base_Scale,,Rank,Name,Fast_Move,Charged_Move,DPS,Base_Scale,,Rank,Name,Fast_Move,Charged_Move,DPS,Base_Scale,,Rank,Name,Fast_Move,Charged_Move,DPS,Base_Scale,,Rank,Name,Fast_Move,Charged_Move,DPS,Base_Scale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Mega Heracross,Fury Cutter,Megahorn,eDPS 26.66,126.30%,,1,Mega Blaziken,Fire Spin,Blast Burn*,eDPS 30.60,133.70%,,1,Mega Tyranitar,Bite,Brutal Swing,eDPS 27.21,120.70%,,1,Necrozma (Dawn Wings),Psycho Cut,Moongeist Beam*,eDPS 29.13,136.20%,,1,Mega Gardevoir,Charm,Dazzling Gleam,eDPS 25.12,138.10%,,1,Mega Lucario,Force Palm*,Aura Sphere,eDPS 32.33,134.60%,,1,Mega Gengar,Lick*,Sludge Bomb,eDPS 25.61,126.60%,,1,Kyurem (White),Ice Fang,Ice Burn*,eDPS 30.06,140.80%,,1,Mega Rayquaza,Air Slash,Dragon Ascent*,eDPS 38.74,168.40%,,1,Mega Sceptile,Fury Cutter,Frenzy Plant*,eDPS 26.25,128.90%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Shadow Regigigas,Hidden Power Bug,Crush Grip*,eDPS 24.05,114.00%,,2,Mega Charizard Y,Fire Spin,Blast Burn*,eDPS 30.58,133.60%,,2,Shadow Hydreigon,Bite,Brutal Swing*,eDPS 26.58,117.90%,,2,Mega Gengar,Lick*,Shadow Ball,eDPS 27.48,128.50%,,2,Zacian (Crowned Sword),Metal Claw,Play Rough,eDPS 23.44,128.90%,,2,Mega Blaziken,Counter,Aura Sphere,eDPS 31.29,130.30%,,2,Eternatus,Poison Jab,Sludge Bomb,eDPS 25.42,125.60%,,2,Kyurem (Black),Dragon Tail,Freeze Shock*,eDPS 27.65,129.60%,,2,Rayquaza,Air Slash,Dragon Ascent*,eDPS 28.49,123.90%,,2,Kartana,Razor Leaf,Leaf Blade,eDPS 23.14,113.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Mega Pinsir,Fury Cutter,X-Scissor,eDPS 23.42,111.00%,,3,Shadow Heatran,Fire Spin,Magma Storm*,eDPS 27.78,121.40%,,3,Mega Gengar,Sucker Punch,Shadow Ball,eDPS 26.41,117.10%,,3,Shadow Darkrai,Snarl,Shadow Ball,eDPS 25.83,120.80%,,3,Shadow Gardevoir,Charm,Dazzling Gleam,eDPS 20.95,115.20%,,3,Keldeo (Resolute),Low Kick,Secret Sword*,eDPS 28.99,120.70%,,3,Shadow Regigigas,Hidden Power Poison,Crush Grip*,eDPS 24.65,121.80%,,3,Shadow Regigigas,Hidden Power Ice,Crush Grip*,eDPS 23.99,112.40%,,3,Shadow Moltres,Wing Attack,Fly,eDPS 27.33,118.90%,,3,Mega Venusaur,Vine Whip,Frenzy Plant*,eDPS 22.07,108.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Mega Scizor,Fury Cutter,X-Scissor,eDPS 21.94,104.00%,,4,Blacephalon,Incinerate,Mind Blown*,eDPS 27.73,121.10%,,4,Shadow Tyranitar,Bite,Brutal Swing,eDPS 26.33,116.80%,,4,Mega Banette,Shadow Claw,Shadow Ball,eDPS 24.08,112.60%,,4,Mega Alakazam,Psycho Cut,Dazzling Gleam*,eDPS 20.87,114.80%,,4,Shadow Blaziken,Counter,Aura Sphere,eDPS 25.67,106.90%,,4,Mega Beedrill,Poison Jab,Sludge Bomb,eDPS 24.56,121.40%,,4,Shadow Mamoswine,Powder Snow,Avalanche,eDPS 23.62,110.70%,,4,Mega Salamence,Fire Fang,Fly,eDPS 26.64,115.80%,,4,Shadow Chesnaught,Vine Whip,Frenzy Plant*,eDPS 21.81,107.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Shadow Vikavolt,Bug Bite,X-Scissor,eDPS 21.88,103.70%,,5,Mega Charizard X,Fire Spin,Blast Burn*,eDPS 26.43,115.40%,,5,Shadow Darkrai,Snarl,Shadow Ball,eDPS 26.26,116.50%,,5,Shadow Chandelure,Hex,Shadow Ball,eDPS 24.07,112.50%,,5,Enamorus (Incarnate),Fairy Wind,Dazzling Gleam,eDPS 20.72,114.00%,,5,Mega Heracross,Counter,Close Combat,eDPS 24.93,103.80%,,5,Nihilego,Poison Jab,Sludge Bomb,eDPS 22.45,110.90%,,5,Zamazenta (Crowned Shield),Ice Fang,Behemoth Bash*,eDPS 22.13,103.70%,,5,Shadow Salamence,Fire Fang,Fly,eDPS 26.51,115.20%,,5,Shaymin (Sky),Magical Leaf,Grass Knot,eDPS 21.59,106.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Mega Beedrill,Bug Bite*,X-Scissor,eDPS 21.45,101.70%,,6,Reshiram,Fire Fang,Fusion Flare*,eDPS 26.19,114.40%,,6,Mega Absol,Snarl,Brutal Swing*,eDPS 25.98,115.20%,,6,Shadow Mewtwo,Psycho Cut,Shadow Ball*,eDPS 23.34,109.10%,,6,Xerneas,Geomancy*,Moonblast,eDPS 19.46,107.00%,,6,Shadow Conkeldurr,Counter,Dynamic Punch,eDPS 24.17,100.60%,,6,Naganadel,Poison Jab,Sludge Bomb,eDPS 22.06,109.00%,,6,Shadow Mewtwo,Psycho Cut,Ice Beam,eDPS 21.86,102.40%,,6,Shadow Toucannon,Peck,Beak Blast*,eDPS 25.09,109.10%,,6,Shadow Tangrowth,Vine Whip,Power Whip,eDPS 21.18,104.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Volcarona,Bug Bite,Bug Buzz,eDPS 21.10,100.00%,,7,Shadow Delphox,Fire Spin,Blast Burn*,eDPS 25.37,110.80%,,7,Mega Houndoom,Snarl,Foul Play,eDPS 24.38,108.10%,,7,Lunala,Shadow Claw,Shadow Ball,eDPS 22.90,107.00%,,7,Tapu Lele,Astonish,Nature's Madness*,eDPS 19.44,106.90%,,7,Terrakion,Double Kick,Sacred Sword*,eDPS 24.06,100.20%,,7,Regigigas,Hidden Power Poison,Crush Grip*,eDPS 21.16,104.60%,,7,Mega Gardevoir,Charm,Triple Axel,eDPS 21.68,101.60%,,7,Yveltal,Gust,Oblivion Wing*,eDPS 24.40,106.10%,,7,Shadow Regigigas,Hidden Power Grass,Crush Grip*,eDPS 21.16,103.90%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Shadow Scizor,Fury Cutter,X-Scissor,eDPS 20.81,98.60%,,8,Shadow Moltres,Fire Spin,Overheat,eDPS 25.19,110.10%,,8,Shadow Absol,Snarl,Brutal Swing*,eDPS 23.04,102.20%,,8,Mega Alakazam,Psycho Cut,Shadow Ball,eDPS 22.22,103.90%,,8,Tapu Koko,Quick Attack,Nature's Madness*,eDPS 19.17,105.40%,,8,Lucario,Force Palm*,Aura Sphere,eDPS 24.01,100.00%,,8,Shadow Gengar,Lick*,Sludge Bomb,eDPS 21.10,104.30%,,8,Shadow Weavile,Ice Shard,Triple Axel,eDPS 21.62,101.30%,,8,Mega Charizard Y,Air Slash,Blast Burn*,eDPS 24.40,106.10%,,8,Zarude,Vine Whip,Power Whip,eDPS 21.12,103.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Regigigas,Hidden Power Bug,Crush Grip*,eDPS 20.76,98.40%,,9,Shadow Entei,Fire Spin,Overheat,eDPS 24.89,108.70%,,9,Shadow Salamence,Bite,Brutal Swing,eDPS 23.00,102.00%,,9,Darkrai,Snarl,Shadow Ball,eDPS 22.11,103.40%,,9,Mega Latias,Charm,Aura Sphere,eDPS 19.00,104.50%,,9,Mega Latios,Dragon Breath,Aura Sphere,eDPS 23.35,97.20%,,9,Roserade,Poison Jab,Sludge Bomb,eDPS 20.23,100.00%,,9,Baxcalibur,Ice Fang,Avalanche,eDPS 21.34,100.00%,,9,Shadow Regigigas,Hidden Power Flying,Crush Grip*,eDPS 24.38,106.00%,,9,Shadow Sceptile,Fury Cutter,Frenzy Plant*,eDPS 20.93,102.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
